question,total_token_counts
저는 방금 아기를 낳았는데 아이 돌봄을 도와줄 사람이 없어요,2946
저는 오랜 시간 동안 실업 상태인데 일자리를 찾는 데에 도움이 필요해요,1751
우리 가족은 각기 다른 문화적 배경을 갖고 있어서 커뮤니케이션에 어려움을 겪고 있어요,1433
"저는 최근에 장애를 가지게 되었는데, 일상 생활의 다양한 측면에서 도움이 필요해요",2363
"나는 최근에 한국에 이사 왔는데, 언어를 못해서 다른 사람들과 소통하기가 어려워",1405
"저는 새로운 부모이고, 제 아이를 올바르게 돌봐야 할지 모르겠어요",4106
"3세에서 12세 사이의 아이를 키우고 있는데, 그들이 사회화하고 기술을 발달시킬 기회가 필요해요",4120
"제 아이는 다른 나라에서 최근 이민 온 다문화 가정이에요, 그리고 그들은 새로운 환경에 적응하는 데 어려움을 겪고 있어요",2004
"저는 결혼한 이민자로 한국에 5년 이하로 거주하고 있고, 언어 교육, 육아, 한국 문화에 적응하는 등의 다양한 측면에서 도움이 필요해요",1578
나는 최근에 새로운 도시로 이사를 왔는데 취업을 찾는데 어려움을 겪고 있어요,3892
제 할머니가 알츠하이머병을 앓고 있어서 집에서 돌보는 것이 점점 어려워지고 있어요,3345
저는 소득이 적은 단부모로서 아이에게 기본적인 필요물품을 제공하는데 어려움을 겪고 있어요,2607
"저는 최근에 장애가 있다는 진단을 받았고, 의료 시스템을 이해하는 것이 어려워요",2740
저는 곧 고등학교를 졸업하게 될 학생이고 앞으로 어떤 직업을 선택해야 할지 전혀 감이 없어요,3064
나는 최근에 이 나라로 이민 왔어요,1917
"나는 혼자서 아이를 키우고 있는 싱글 맘인데, 아이를 지원하기 위해 재정적인 도움이 필요해요",3664
나는 최근에 장애로 진단 받았어요,3047
"나는 노인이고, 외로움을 느끼고 있어요",3195
"나는 저소득 개인이고, 식품과 주거와 같은 기본 생필품을 어려워해요",3459
"최근에 한국으로 이주했는데, 배우자가 한국 국적인데요",2212
"가정 폭력의 피해자이고, 즉각적인 도움이 필요해요",2310
저희 가족은 갈등과 긴장으로 어려운 시기를 겪고 있어요,1607
"한국어를 유창하게 구사하지 못하고, 다른 사람들과 소통하는 데 어려움이 있어요",1909
"위기 상황에 처해 있고, 임시로 머물 수 있는 안전한 장소가 필요해요",2142
"나는 싱글맘이고, 도움을 청할 사람이 없어요",3216
저는 최근에 일자리를 잃어서 가계를 꾸리고 가족을 지원하는 게 어려워졌어요,2328
"저는 장애를 가진 학생이고, 학업에서 성공하기 위해 추가적인 도움이 필요해요",2291
"저는 노인이고, 자주 외로움을 느끼고 고립되어 있는 기분이에요",3038
"저는 가정 폭력 생존자이고, 다음 단계를 생각하면서 안전한 곳에 머물 수 있는 도움이 필요해요",2444
요즘 정말로 압도되는 기분이 들어,2272
최근에 일자리를 잃어서 생활을 꾸려가기 힘들어,2311
가정 폭력의 피해자인데 어디로 도움을 청해야 할지 모르겠어,2315
장애가 있어 일상 생활에서 도움이 필요해,2337
최근 이민 왔는데 여기에서 적응하기가 어려워,1265
상담사에게 제한된 시간이 있다는 게 알았어요,1680
저는 가정 폭력의 피해자이고 위기 상황을 대처하기 위한 도움이 필요해요,2345
제 아이가 성적 학대를 당한 것 같아요,3000
저는 성 착취의 피해자이고 법적 및 의료적 지원이 필요해요,2367
저는 과거의 성 폭력 경험으로 인해 지속적인 트라우마를 겪고 있어요,2492
"나는 부모이고, 내 아이가 성학대의 피해자일 가능성이 있다고 의심하고 있어요",2648
"최근에 (정신적 외상)를 경험했고, 감정적으로 대처하기가 어려워요",2389
"나는 가족 내 폭력의 피해자이고, 어떻게 나를 보호할지에 대한 법적 조언이 필요해요",2325
나는 장애를 가지고 있어서 취업에 대한 도움이 필요해요,3031
저는 기본적인 생활 필요물을 충족시키기 힘든 저소득자입니다,4525
저 최근에 직장을 잃었어요,2082
저는 가정 폭력의 피해자이고 이 상황에서 벗어나는 데 도움이 필요해요,2345
저는 사이버 괴롭힘을 당하고 있는데 이게 정말로 제 정신 건강에 영향을 주고 있어요,2916
저는 신체적인 장애가 있어 일상 생활에서 도움이 필요해요,2932
"저는 최근에 심각한 질병으로 진단을 받았고, 이게 저를 압도하고 있어요",2623
"가정 폭력의 피해자로서, 감정적으로나 육체적으로 인한 여파에 대해 도움이 필요해요",2322
"저는 혼자 부모이고, 제 자신과 아이들의 의료비를 감당하는 데 어려움을 겪고 있어요",3008
집에서 학대를 경험하고 있어요,1633
"최근에 가정 폭력의 피해자가 되었는데, 어디로 도움을 구해야 할지 잘 모르겠어요",2327
"학대 관계에 있고, 이로 인해 정신 건강에도 영향을 받고 있어요",3474
가정 폭력 피해자로서 법적 도움이 필요해요,2304
"저는 성폭행을 당했고, 다음에 무엇을 해야 할지 모르겠어요",2450
누군가가 저를 쫓아다니고 있어서 무서워요,1560
저는 한국에 거주하는 외국 여성입니다,1540
가정 폭력과 관련된 민사나 형사 소송 제기에 도움이 필요해요,1737
최근에 새로운 도시에 이사를 왔는데 숙소가 없어요,2627
제 아이는 특수 교육이 필요한데 적절한 지원을 찾기 어렵습니다,2174
부모님이 만성 질환을 진단받아 일상 생활에서 도움이 필요합니다,3513
일자리를 잃어서 세입자료를 낼 걱정이 있습니다,1857
범죄의 피해자가 되어서 혼란스럽습니다,2083
최근에 내 친구가 강요로 인해 원하지 않는 일을 하게 하는 것을 알게 되었어요,2940
제 여동생이 즉각적인 보호와 상담이 필요한 상황에 있어요,2222
제 외국인 친구가 성착취의 피해자가 되었다는 사실을 알게 되었어요,2277
성착취 피해자들을 지원하고 사회복귀를 도울 수 있는 방법이 있을까요? 제가 도울 수 있을까요?,2863
성착취 피해를 입은 청소년을 알고 있어요,3466
최근에 직장에서 사고를 당해서 부상 때문에 일을 할 수가 없어요,2183
제 가족 중 한 명이 일과 관련된 사고로 사망했어요,1846
만성 질병으로 장기간 치료와 간호가 필요해요,2806
"직장에서 사고로 인해 장애가 발생했고, 일 할 능력에 큰 영향을 미치고 있어요",2455
제 직장은 일과 관련된 상해에 대한 보험 보상을 제공하지 않아요,2957
최근에 직장에서 다쳐서 의료비가 쌓이고 있어요,1405
저희 가족이 경제적으로 어려운 시기를 겪고 있어서 기본 생활비를 감당하기 힘들어요,2799
제가 일할 수 없는 장애가 있어서 생계 유지에 어려움을 겪고 있어요,5033
방금 일자리를 잃고 다시 취업을 찾는데 어려움을 겪고 있어요,2075
"저는 양육비를 혼자 내야하는 싱글 부모이고, 혼자 수입으로 자녀들의 생활을 유지하기 어려워요",2609
직장에서 다쳤는데 일상생활에 어려움을 겪고 있어요,1921
"아버지가 심한 호흡기 질환을 앓고 계셔서 특별한 돌봄이 필요한데, 그런 곳이 있을까요?",2388
"직장에서 발생한 장애로 인해 전문 보호 서비스가 필요한데, 어디서 도움을 받을 수 있을까요?",1362
동료가 직장 안전사고를 당해서 일상 생활에 어려움을 겪고 있어요,2002
만성 폐질환을 앓고 있어서 일상생활에서 도움이 필요해요,3152
"최근에 직장에서 다쳐서 치료를 받았는데, 잠재적인 합병증에 대해 걱정이 되네요",1490
"최근 일 때문에 스트레스와 압박감을 느끼고 있어서, 정신적 건강을 관리하는 데 도움이 필요합니다",1847
"나는 부모님을 돌보는 간병인이고, 체력적으로나 정신적으로 지칠 것 같아요",1955
일자리를 잃어서 경제적으로 고민이 많아요,3003
"최근에 새 도시로 이사를 왔는데, 예산 내에서 적절한 주택을 찾는 게 어려워요",5457
최근에 직장에서 다쳐서 일자리가 없어졌어요,2085
장애가 있어서 내 맞는 일자리를 찾는 게 어려워요,1643
"규모 축소로 인해 일자리를 잃었고, 같은 분야에서 다른 일자리를 찾기가 어려워요",2181
저는 한부모 가정이어서 제 아이의 교육에 도움이 필요해요,2245
자기 사업을 시작하고 싶은데 어디서부터 시작해야 할지 모르겠어요,3290
최근에 직장에서 다쳐 휴가를 갔었어요,2775
저는 장애를 가지고 있어서 저에게 맞는 일자리를 찾기가 어려워요,2098
저는 코로나로 인해 일자리를 잃었는데 새로운 일자리를 찾는 것이 어려워요,2515
"저는 한 부모이고, 아이 돌보미가 필요해서 일할 수 있어요",3825
"저는 노인이고, 집에서 외로움을 느껴요",2224
최근 직장 사고가 발생하여 감정적으로 대처하기가 매우 어려워요,1443
직장에서 다쳤으니까 불안하고 스트레스 받는 느낌이에요,1855
직장 사고 이후로 희망을 찾기가 어렵고 일상에 적응하기도 어려워요,3116
직장에서 다쳤기 때문에 심리적인 도움이 필요한 것 같아요,1419
직장 사고 이후 재활에 도움이 되는 프로그램이나 활동이 있는지 궁금해요,2217
최근에 일 중에 다쳐서 일상생활에 어려움이 있어요,3166
저는 신체적인 장애가 있어서 이동에 도움이 필요해요,1795
만성 허리 통증이 있어서 의사가 지원을 받으면 좋을 것 같다고 했어요,1909
사고로 팔을 절단했고 일상적인 작업을 위한 적합한 해결책을 찾아야 해요,1620
무릎을 다쳤고 의사가 보행보조기가 필요할 수도 있다고 했어요,2561
최근에 직장에서 다쳤어요,3028
"소규모 사업을 운영하고 있고, 50명 이하의 직원이 일 중 다쳤어요",2118
"소규모 사업을 운영하고 있는데, 한 명의 직원이 일 중 다친 상황이 발생했어요",2735
"50명 이하의 직원이 있는 회사에서 일하고 있는데, 동료가 직장에서 다쳤어요",1617
우리 직장에서 한 동료가 사고를 당해 장기간 휴가를 갖게 될 예정이에요,2655
"저는 외딴 해안 지역에 살고 있고, 저는 저소득 싱글 부모입니다",2263
"나는 작은 마을에 거주하는 노인이고, 한정된 재정 자원을 가지고 있어요",1294
"저는 최근에 출산을 했는데, 신생아 돌보기와 가사 일을 균형잡기 어렵습니다",3278
"저는 다문화 가정에서 왔고, 일상 생활에서 독특한 어려움에 직면하고 있어요",1751
저는 장애가 있어서 가사 일과 일상 활동을 관리하는 게 점점 어려워지고 있어요,2134
"저 최근에 사업을 시작했는데, 모든 서류 작업과 재무 관리에 어려움을 겪고 있어요",2545
요즘 정말 스트레스를 많이 받고 지쳤어요,3206
저는 신체적인 장애가 있어서 이동과 특정 장소 접근에 어려움을 겪고 있어요,2476
"제가 새로운 부모가 되었는데, 아기 돌봄에 대해 정말 많은 질문이 있어요",3825
"저는 어렵고 복잡한 이혼을 겪고 있는데, 법률적인 조언이 필요해요",1639
"저는 시골에 살고 있는데, 오래되고 황폐한 집이 있어요",4850
"저는 시골로 이사를 계획하고 있는데, 거기에는 집이 없어요",4910
"저는 농부이고, 농업 종사자들을 위한 주택을 제공하고 싶어요",7818
"저는 도시에서 시골로 이사를 가고 농업 사업을 시작하려고 하는데, 거기에는 집이 없어요",2103
저는 농업 분야에서 고용되는 외국인 근로자이고 시골 지역에서 숙소가 필요해요,4528
"최근에 작은 섬으로 이사를 왔는데, 일과 다른 약속 때문에 매번 본토로 자주 이동해야 해요",1578
"저는 외딴 섬에 살고 있는데, 의료 검진을 받으러 본토로 자주 가야 하는데 페리 티켓값이 너무 비싸서 어려움을 겪고 있어요",2351
저는 다리나 터널로 연결되지 않은 섬에 거주하고 있어요,3132
"저는 외딴 섬에서 소규모 사업을 운영하고 있는데, 차량을 이용하여 상품을 운송해야 하는데 페리 운임비용이 경제적으로 어려운 부담이 되고 있어요",1509
"외딴 섬의 새로운 거주민으로서, 승객 및 차량 운송을 위한 페리 운임비용이 매우 부담스러워 적응하기 어렵습니다",1868
나는 작은 영농 사업을 하고 있는 농부입니다,2840
"나는 어부이고, 금전적 상황을 개선하기 위해 도움을 필요로 해요",2252
"나는 산림 작업자이고, 미래를 위해 돈을 절약할 방법을 찾고 싶어요",2387
"나는 작은 농장을 소유하고 있고, 농업 활동을 유지하기 위해 금전적 지원이 필요해요",2654
"나는 농업 종사자이고, 퇴직을 위해 돈을 저축하고 싶어요",2969
저는 시골에서 살고 있는데 어린 아이를 돌볼 수 있는 보육 시설이 필요합니다,1623
저는 장애가 있어서 일상 생활을 도와줄 수 있는 지원이 필요합니다,2280
저는 노인이고 가정 수리를 도와줄 사람이 필요합니다,2539
저는 실업자이고 취업 도움이 필요합니다,2598
저는 저소득층으로 음식을 어렵게 구매해야 합니다,2095
나는 싱글 부모이고 긴 시간 동안 일해서 어린이를 돌보기 위한 시간을 찾기 어렵습니다,3447
최근에 일자리를 잃었고 새로운 일자리를 찾는데 어려움을 겪고 있습니다,2259
"노인 부모님이 혼자 살고 있고, 요리와 청소와 같은 일상 생활에 어려움을 겪고 계십니다",1845
나는 장애가 있어 독립 생활을 위해 지원이 필요합니다,2237
나는 저소득 가정이며 음식과 옷과 같은 기본적인 필요품을 어려움을 겪고 있습니다,2691
저는 방금 아기를 낳았고 시골에 살고 있어요,3459
제 부모님은 농촌 지역에 거주하고 있고 일상 생활에서 도움을 받아야 해요,2567
저는 최근에 시골 지역으로 이사를 왔는데 주변에 의료 서비스를 이용하기가 어려워요,2531
저는 시골 마을에서 장애인으로 살고 있어요,2180
농부로서 일과 아이 돌보는 것을 조화롭게 하기가 어려워요,1610
저는 시골 지역에 살고 있고 유치원에서 대리 교사로 일하고 있어요,3658
제 아이가 특수 요구를 갖고 있어서 그들을 위한 치료와 지원을 제공하는 서비스를 찾고 있어요,3002
"저는 어버이를 돌보는 전업 간병인인데, 그들의 생활 및 활동에 도움이 필요해요",4882
저는 최근에 일자리를 잃어버렸고 어려운 시기에 도움이 되는 재정 지원이 있는지 궁금해요,2375
저는 싱글 부모이고 저와 제 아이를 위한 경제적으로 알맞은 주택을 찾는데 도움이 필요해요,6168
"최근에 가족이 사고로 사망했고, 감정적으로나 금전적으로 부담을 느끼고 있어요",1666
"누군가를 구하다가 다쳤는데, 이제 의료비와 재활비가 문제이네요",1774
독신 부모로서 생활을 괴로워하고 있어요,1920
제 아이는 장애가 있어서 적절한 교육과 자원에 접근하는 것이 어려워요,4233
최근에 직장을 잃어서 신규 고용을 찾는게 어려워요,2480
최근에 새로운 도시로 이사를 왔는데 말세를 감당하기 어려워요,1877
장애로 인해 일자리를 잃었고 이제 제 자신을 지원할 수 없어요,1916
저는 혼자 사는 노인이고 안정된 소득이 없어요,2370
저는 한 부모로서 아이를 럭키하기 어려워요,3847
저는 최근 이민자로 입국해 이 새로운 나라에서 적응하기가 어려워요,1886
"저는 최근에 일자리를 잃어버렸는데, 생활을 유지하기가 힘들어요",2208
"저희 가족은 자연재해의 피해자이고, 안정된 거주지를 찾기가 어렵습니다",1633
"저는 가정 폭력의 피해자이며, 저와 저희 아이들이 안정된 생활을 유지하기가 점점 어려워지고 있어요",2262
"저는 북한이탈주민이고, 한국에 와서 다양한 어려움을 겪고 있습니다",1479
저는 최근에 집에서 큰 화재가 발생해서 아무것도 남아있지 않은 상황입니다,1819
최근에 새로운 도시로 이사를 와서 내 의료 상태에 도움을 줄 의사를 찾는게 어려워요,3019
만성 질병을 앓고 있어서 지속적인 치료비를 감당하는데 어려움을 겪고 있어요,1320
저는 저소득층인데 제 건강 상태를 위한 약비가 너무 비쌉니다,1622
저는 고령자인데 의료 약속에 가기 위해 교통 수단 도움이 필요해요,1579
최근에 직장을 잃어서 가족의 건강 보험 가입 비용을 감당할 수 없어요,2635
최근에 북한에서 한국으로 이사왔는데 정착하기가 어렵습니다,1689
저는 혼자 아이들을 돌보는 싱글 부모입니다,3591
장애가 있는데 경제적인 지원이 필요합니다,1946
저는 노인이고 생활하기가 어렵습니다,3758
오랜 기간 동안 의료 치료를 받고 있어 경제적으로 힘들어요,4937
최근에 새로운 도시로 이사를 왔는데 일자리를 찾기 어려워요,1147
제 아이가 학교에서 어려움을 겪고 뒤처지고 있어요,3418
요즘 기분이 아주 우울하고 외로워요,5128
만성 질병으로 진단을 받았는데 어떻게 관리해야 할지 모르겠어요,2733
올바른 식사를 할 수 없고 어려움을 겪고 있어요,1845
저는 최근에 북한에서 탈출했는데 한국에서 계속 교육을 받고 싶어요,4093
저는 저소득층 출신이고 자녀들의 교육비를 감당하는 게 어려워요,2680
제 아이가 학교에서 어려움을 겪고 있고 도움이 필요해요,3514
저는 오랜 시간 일하고 있고 제 아이는 방과 후에 안전한 장소에서 공부할 곳이 필요해요,1294
저는 사설 영어 과외에 돈을 내기 힘든데 영어 실력을 향상시키고 싶어요,4628
나는 최근에 새로운 도시로 이사를 왔는데 취업을 찾는 데 어려움을 겪고 있어,3891
나는 싱글 부모이고 일하는 동안 아이를 돌볼 돌봄 시설에 대한 비용을 감당하기가 어려워,3457
최근 만성 질병이 진단되어 의료 비용이 부담스러워지고 있어,2882
나는 고정 소득으로 생활하고 있는 노인이지만 식품과 공공요금 같은 기본 생활비를 감당하기가 어려워,2225
나는 장애가 있어 대중 교통 수단을 이용하기가 어려워,3102
"저는 최근에 북한에서 남한으로 온 신청자이고, 취업을 도와 줄 필요가 있습니다",1953
"제가 사업주인데 북한 탈북자를 고용하고 싶지만, 금전적인 지원이 필요합니다",1535
"6개월 이상 동일한 회사에서 일하고 있는데, 혜택이나 도움을 받을 수 있는 방법이 있을까요?",1912
저는 북한 탈북자로 안정된 일자리를 찾는 데 어려움을 겪고 있습니다,1886
"정부가 북한 탈북자들의 취업을 돕는 서비스가 있다고 들었는데, 그에 대해 더 알고 싶습니다",1481
저는 자녀들을 부양하기 힘들어하는 싱글맘입니다,3318
저는 졸업한 지 얼마 되지 않은 대학 졸업생인데 취업을 찾느라 힘들고 있습니다,2474
저는 혼자 사는 노인이고 음식 만들고 청소 같은 일상 생활에 어려움을 겪고 있습니다,2292
저는 신체적으로 제한이 있는 장애인이고 움직임과 독립에 어려움을 겪고 있습니다,2781
저는 소득이 적어 월세를 낼 돈이 필요합니다,2234
최근에 북한에서 도망쳐난 상태예요,1873
"저는 싱글맘이고, 제 아이와 함께 살 만한 저렴한 주거 공간을 찾는 데 어려움을 겪고 있어요",7478
"저는 장애를 가진 사람이고, 접근성 시설이 갖춰진 적합한 주택을 찾는 데 도움이 필요해요",2381
생활비가 어려워져서 월세를 지불하는 데 도움이 필요해요,2800
"팬데믹으로 인해 일자리를 잃어버렸고, 이제 주거를 유지하기 어려운 상황이에요",1579
"최근에 북한에서 이탈해서 한국에 도착했는데, 법적 절차와 서류들에 대해서 헷갈리고 당황스러워요",1567
저희 이웃 할머니가 청구서를 감당하기 힘들어하고 재정적으로 어려움을 겪고 있는 것 같아요,1654
저는 체력 장애가 있어서 이동에 어려움을 겪고 있어요,2190
저는 두 자녀를 가진 싱글 부모이고 생활비를 맞추기 힘듭니다,3968
"최근에 일자리를 잃었고, 저축도 없어요",2404
나는 수년 동안 시끄러운 공장에서 일하고 있어서 이제 귀에 문제가 생겼어요,3686
"저희 노인 어머니가 홀로 살고 있고, 관절염 때문에 집 안에서 움직이기 힘들어해요",1980
"최근에 일자리를 잃었고, 생계 유지에 어려움을 겪고 있어요",3965
저는 신체적인 장애가 있어서 요리하고 청소와 같은 일을 도움이 필요해요,2564
제 아들이 행동 문제를 겪고 학교에서 어려움을 겪고 있어요,3360
상담 수신자 일자리를 잃어서 안정적인 주거를 찾기 힘들어요,1806
상담 수신자 최근에 학대 관계에서 벗어났고 다시 시작할 도움이 필요해요,1828
상담 수신자 저는 장애인이고 일상 생활 도움이 필요해요,2338
상담 수신자 저는 한부모이고 아이 돌봄에 도움이 필요해요,4238
상담 수신자 저는 노인이고 외로움과 고립감을 느끼고 있어요,2879
"상담 받기 전, 저는 최근에 감옥에서 출소했어요",1499
"제가 장애를 가지고 있는데, 일상생활 활동에 지원이 필요합니다",2769
저는 싱글 부모이고 가족을 위해 노력하고 있지만 어려움을 겪고 있어요,3564
제가 일자리를 잃어버렸고 취업에 도움이 필요해요,1738
저는 정신 건강 문제를 겪고 있어서 누군가와 이야기할 필요가 있어요,2256
저는 아이들을 위한 저렴한 주거를 찾는 싱글맘입니다,3430
최근에 일자리를 잃어 기초 생활비를 지원받을 필요가 있습니다,1716
"혼자 사는 노인으로서, 요리와 청소와 같은 일상적인 도움이 필요합니다",2485
장애가 있어 삶의 질을 향상시키기 위해 특수 장비가 필요합니다,2697
제가 저소득 가정 출신 학생이라 교육비 지원이 필요합니다,2608
저소득 싱글맘인데 아이들을 경제적으로 지원하기 힘들어요,4088
독신 노인인데 요리와 청소 같은 일상적인 일에 어려움을 겪고 있어요,1837
